,Date,Likes,Comments,Text
#8110,2021-12-26 19:19:16,51,3,"
(םירבח ינפב וישכע תאצל יתלחתה) ןוראב יצח ומוה
ילש תינימה הייטנל יוטיב םעפ ייא ןתא ינאש יתבשח אל .תטלחומ השחכהב יתייה םייחה לכ
תימצעה האנשהו םיימינפה םיטקילפנוקה לע םירבדמש ינפל דוע ןבומכ הזו .גוז ןב אוצמל יתלוכי אל זא .הב יתלדגש הביבסב ומוה ףא יתרכה אל .יתלוכי אל טושפ רבג םע תויגוז יכ .תויגוז ילב הנש 20 ןייצל דמוע ינאש יתבשחו .20 תדלומוי יל שי בורקב
םלוכ תא תוצרל ידכ קר גוז תונב לש יניצ שומיש םהב תושעל יתיצר אל ילש תורבח תא בהוא דואמ ינא יכ אקווד .הז תא תושעל חונב אל יתשגרה דימת לבא ״םדידי אל רבכ םתא תאצל וליחתת הלכי,התיא בבותסמ םויה לכ התא״ יל ורמא םירבחה דימתו יטסב יל התייה םייחה לכ יל שי ןיידעו תובוט תורבח המכ יל ויה ? תונבו

יתקשנתה אלו יהשימ/והשימ בהוא ינאש יתרפיס אל .םיידי יתקזחה אל .תויגוזב יתייה אל םעפ ףא זא
זאו
םישדוח המכ ינפל
ביבא לתב םייתד יגיאל יתכלה
יל ןתונ הזה םוקמה המכ ריבסהל לוכי אל ינא
ימצע םע םילשהל ךכ לכ יל םרג הז לבא םישדוח המכ קר םש ינא םנמא
גוז ןב יל שיש רוציקב דיגא ינא לבא ךורא ךילהת הזש ןבומכ
הסאבו תוקוור,תודידב לש םינש 20 ןייצל רומא יתייה בורקה ראוניב
בורקה תדלוה םויה תא לבא
בוט טיידב ילש גוז ןב םע גוגחא ינא
יגיא זא
הדות"
#8109,2021-12-26 16:16:03,20,7,"
🙏 יטרפב תונפל תדחפמ ,ןאכ תומשה תא ובתכת השקבב ?תאזכ היח שי .לידבהל הרמה לופיט רובעל וא ןוראהמ תאצל ילע עיפשהל הסנת אלו יתוא טופשת אלש ,(הביבסהו ביבא לת) זכרמב הבוט תיגולוכיספ תשפחמ ...דחפהמ זוזל אלו הטימב רגתסהל יל םרוג ןוראהמ תאצל םג לבא ,יוכיס םוש הזל ןיאו םייניעה לומ ילש הרבחה תא האורו םלומ תבשוי ...רבג םע ןתחתהל חילצאש בושחלו םירבג םע םיטיידל תאצל יל סאמנ זא ,בוט
!ןכשאר לע לוחת הכרב"
#8108,2021-12-26 10:10:29,25,12,"
.יתניבמ בגשנ !לע ירוביג יטרס לע םילוח אלש םיאומוה ןיבמ אל ינא
קסעה תא קרפל תקדצומ הביס ןיטולחל אוהש בשוח ינאש רבד ..תאזה הגוסב םירחא םיטרס יבגל ולש השיגה םג וזש יל ריהבהו ןמרדייפס יתיא תוארל אובל ןכומ היה אלש רוחבמ וישכע יתכתח קוחצ ילב
!יונפ ינא אבה טרסל לבא דדב ךלי הארנכ יא בורקה טרסל זא"
#8107,2021-12-25 21:21:23,10,3,"
דבוע המכ סלכת תועדוי אלו החפשמ לע תומלוח ונחנא ?.. תאזה החפשמה לכ לע תויבסלל םידלי וא תוהמא גוזמ תצק עומשל בצמ שי"
#8106,2021-12-25 20:20:52,89,19,"
.רכז בכשמ לע יתרבע זא
!םלועב בשחתמו בוט יכה היה ילש רנטרפה ,םיהדמ טושפ היה
.ונלש רשקלו ונינשל יתועמשמו יתמצוע עגר היה הזו
?אל בוט עמשנ ןאכ דע
.םואתפ ללוחמ שיגרמ .ימצע לומ יתרבשנ וליאכ ,תמייוסמ הטרח יב שי ,םלש בלב הז תא יתישעש ףא לעו .ארונ והשמ לע יתרבעש שיגרמ ינא ,שפנה התוא אל רבכ ילש שפנהש איה היעבה
(?םלשומ אוהש רבכ יתרמא) ןוכנ אל יל שיגרמ הז דוע לכ ,בוש הז תא השענ אלש רמאו הבר הנבהב לביק אוה ,ותוא יתפתיש
.השוחת התוא השוחתה לבא
.ףוריטב חרפ ונינב רוביחהש ,יתמצועו בוט ככ היהש ,בוש הז תא הצור ךכ-לכ ינאש שיגרמ ינא - תינמז ובו
.תושעל המ עדוי אלו ערקנ ינאש שיגרמ
ףוא"
#8105,2021-12-25 19:19:30,11,0,"
ףֹוס ןיֵאָה דַע ןאָּכ יִנֲאַו תֲאֶׁש יִּתְרַמָא םַעַּפ
.ּונְדַרְפִנ זָא לָבֲא
ףֹוס ׁשֵּיֶׁש רֵמֹוא הֶז
?ןאָּכ אּוהְו"
#8104,2021-12-25 17:48:44,14,3,"
.םייתנשמ רתוי רבכ דחיב ונחנא ,רבח יל שי
תינימ םג ילואש בושחל הליחתמ ינא הנורחאל לבא ,תיטנמור הניחבמ םישנל םג תכשמנ ינאש ןמזמ רבכ יתנבה
...ביגי אוה ךיא תעדוי אל ינא ?...ילש רבח םע הז לע רבדל"
#8103,2021-12-24 14:41:39,17,3,"
.והשימ שפחל ליחתאש דע הזה אשונה לע רבדל אל ונמכיס
.הלש תורבח לש תועדה ומכ ללכהמ םיאצוי םג ויה לבא ,יתד תיב לכב עמשתש ולאה םיטפשמה וליאכ ,םלוכ לצא ומכ יד םבור ,םיבר םיטפשמ דועו ""םולכ רמוא אל דוע הז םירבג לע בל םש התא בוחרב רבוע התאשכו ונרופב תופצל בהוא התאש הז"" ""תיסינ אל םתיא םג םא םינב בהוא התאש עדוי התא ךיא"" וא ""תונב םע תיסינ אל דוע טושפ"" טפשמה םג רמאנ .תמאב הדות ""ידמ ירזכא הז ירטאיכיספ םילוח תיבב ךתוא רוגסל לבא תישפנ הלחמ וז"" טפשמה תא םג היה ,""הזב לפטל רשפא היהיו הא ?גולוכיספל תכלל הצור התא"" ,רשפאש המ לכ רבכ יתעמש זא דע
.הרבחה וז תישנל תיאצח ךפוהש דיחיה רבדה ,אמגודל תיאצחב ישנ רבד םוש ןיאשו ןשוימ אוה ירדגמ שובל לש ןויערהש ריבסהל יתיסינשכ תושק םילימ המכ םג ויהו הא
.רשק קותינ לבקא קר ילוא אלא םייתדה ירבחמ יוביג לבקא אל רפסא ינא םאש עדוי ינא ליבקמב .ירטאיכיספ םילוח תיבל יתוא חולשל התוא הדדוע וליפא ןהמ תחא ,ןהמ אלמ יוביג תלבקמ איהש ןבצעמש המ ,הלש תורבח רפסמל םג רפסל הליחתה איה הנורחאל
.יתוא םיבגמ ךיא תוארלו שייבתהל הפיט תוחפל אמאל םורגתש תיבל ץוחמ רבדל לוכי ינא הילעש תרחא תכלכולמ הסיבכ יתאצמ לבא"
#8102,2021-12-24 11:44:37,13,6,"
.רבעשל תידרח/היתד תאשכ ןוראב תויהל השק ךכ לכ
<<<—םינפב קומע ןבורש הנימאמ
? ריווא ילב םש תויהל רשפא ןמז המכ ??הז םע תויח ןתא ךיא
?יתמ דע - ימצע תא תלאוש
.ילש בצמב יהשימ ריכהל החמש יתייה
🙈 ינומכ תואבחתמ ןלוכ לבא"
#8101,2021-12-24 09:21:45,52,2,"
(רקוב תונפל שולשב הז לע בושחל יתוא קיחצה) .תיבסל ינא יכ עתפומ - ולומ ןוראל ץוחמ ינאש ימ .הייתד ינא יכ תולולג תחקול ינאש עתפומ - ולומ ןוראב ינאש ימ"
#8100,2021-12-23 21:12:38,22,3,"
*ביבא לתב הרידל ףתוש*

.הובג-ינוניב ביצקתב ,ביבא לת זכרמב (םירדח 3) הרידל ותיא סנכיהל ףתוש שפחמ ,ייה
.׳ודכו םירבח םע תבש תוחורא םעפ ידימ ןגראל בהוא ,רדוסמו יקנ ,תורדרדהב יתד ,יתורבח ,דבוע ,ןוראב ,31 ןב ינא
.(חנ רתוי יל הארנ םתס) ןוראב רחא וא הזכ בלשב אצמנ ןיידעשו יתד עקרמ והשימל תופידע ,הטמו יליג תוביבסב ,הבוט הריואב ,יפיכ ףתוש שפחמ
😎 ץוח יפלכ ינשה לש דחא ןוראה תא דבכל ןיידע ךא ,תויטופיש ילבו רתתסהל ילב אוהש ימ הב תויהל לכוי דחא לכש הריד היהתש הרטמה
taybenyI@ םרגלטב יל ובתיכ וא הבוגת וריאשה"
#8099,2021-12-23 20:20:42,17,3,"
.לזלזמהו ינעגופה סמסה םע רקובה יתררועתה

"".הבושתב רוזחל ידכ ןנחלא רוא תבישיל אובת .ץראהמ שוריגו תוומ ,רומח שנוע ךל עיגמ .דמושמ התא ןכלו ב""טהל התא""

.אשונב באוכו ךורא ןויד שי ה""בקלו יל
.קיספי םעפ יא םא עדוי ימו דילגה אלש באוכ עצפה רבודמ
םמדל ליחתהש ,עצפ ותואב בוש דרגו עיגה הזה סמסה
.ףרטאמ בנגנש םינותנ רגאממ םכלש יטרפה ןופלטל סמסב רקובה לע .הטובו רעוכמ יכה ןפואב הז תא םכל רמוא והשימשכו (?הריירקב תויעב ?רבעהמ ןולשכ ?ינוציחה הארמה ) םכמצע לע םיבשוח םתאש ער יכה רבדה תא עגר וניימד .אל ינא .גולגלב וביגה זייגה ירבחמ קלח
.ותמצועב ליהבמו םוצע באכל תרוכזית אלא ,הבושתב רוזחל םרוג אלש טפשמ .ביאכמו ירזכאו עשורמ טפשמל קקדזה לכהו ,םייחה תא סורהל םילילשה תושגרל תתל אל ,עגר דוע ,םוי דוע דורשל תימצע המחלמו םשא ,האנש תושגר ,ףוא דנא ןוא הפיכ לש םינש לע ,תדה המויאה הייחדה לע ,אבא לש םילאה םעזה לע ,םירוהה ודיגי המ לש דחפה לא ,ןוראב דחופמ דלי ותוא לא רוחאל הריזחמש תבאוכ יחל תריטס"
#8098,2021-12-23 15:51:36,34,26,"
.ינוליח םע הנושארה םעפב יתאצי
:יל תועירפמ דואמש תודוקנ שי לבא קיחצמו םכח ,ךיתח ,םיסקמ אוה
.הזה עטקב ינלוק דואמ אוהו (םיעדוי אל םירוהה) ןוראב יצח ינא
.ינרמוח דואמ אוהו יתד עקרמ עיגמ ינא
.אל אוהו ןימאמו ינויצ ,ינמי ינא
?תומלועה ןיב רשגל ללכב יוכיס שי"
